Key,Default Value,Value Type,Description
AUTHENTICATION,,,
authentication.authentication_method,UMS,string,The authentication system to use. This value is derived from the file Bootstrap.properties
authentication.unprotected_url_patterns,"/rest/login,/rest/resources,/base,/script,/theme,/ws,/ums/contentSecurityPolicyParser,/ums/authenticator,/meta/wsdl,/msg/wsdl,/saml,/service,/system_resource,/user_resource,/ping.html,/index.html,/component_info.xml,/sms,/api,/help,/meta/voice",Comma delimited string values,The list of unprotected URL patterns.
authentication.sso.excluded.hosts,{authentication.sso.excluded.hosts},string,The list of hosts excluded from SSO. This value is derived from the file Bootstrap.properties
AUTHENTICATION JWT,,,
authentication.jwt.ISSUER.secret,{authentication.jwt.ISSUER.secret},string,"A passphrase used to encrypt the token. We recommend that the passphrase has a minimum of 30 characters. The ISSUER must be a lowercase value and match the value specified in the JWT ""iss"" claim.  This value is derived from the file Bootstrap.properties"
authentication.jwt.ISSUER.default_expiration_time_in_seconds,300,numeric,"The token expiry in seconds (e.g. 300).
The ISSUER must be a lowercase value and match the value specified in the JWT ""iss"" claim. "
AUTHENTICATION PROXY,,,
authentication.proxy.remote_user_variable_name,{authentication.proxy.remote_user_variable_name},string,"The HTTP request header variable name that identifies the username when an SSO is enabled using a Reverse Proxy. Should be set to the value of ""http_uid"" when SiteMinder is the Reverse Proxy. Should be set to blank when using a Kerberos-based SSO. This value is derived from the file Bootstrap.properties"
authentication.proxy.test_remote_user,,string,"Used as a test user, when testing the system without a valid proxy server."
AUTHENTICATION SAML,,,
authentication.saml.assertion_consumer_service_url,{portal.home_url},string,Used to specify the path to the Identity Provider metadata XML file path (e.g. <path>/idp.xml).
authentication.saml.entity_id,{app.server.protocol}://{general.host}/{environment.name},string,The Entity Descriptor entityID as specified inside the Identity Provider metadata XML file. This value is derived from the file Bootstrap.properties
authentication.saml.identity.provider.metadata.entity_descriptor_id,{authentication.saml.identity.provider.metadata.entity_descriptor_id},string,The Entity Descriptor ID specified in the Identity Provider Metadata. This value is derived from the file Bootstrap.properties
authentication.saml.identity.provider.metadata.uri,{authentication.saml.identity.provider.metadata.uri},string,The file path to the Identity Provider Metadata. This value is derived from the file Bootstrap.properties
authentication.saml.key.store,{authentication.saml.key.store},string,The location of the Java truststore. This value is derived from the file Bootstrap.properties
authentication.saml.key.store.entry.alias,{authentication.saml.key.store.entry.alias},string,The SSL certificate alias used for SAML Assertion signing.
authentication.saml.key.store.entry.password,{authentication.saml.key.store.entry.password},string,The SSL certificate password.
authentication.saml.key.store.password,{authentication.saml.key.store.password},string,The Java truststore password. This value is derived from the file Bootstrap.properties
authentication.saml.username.attribute.key,username,string,"n/a, default is username"
BUILD COMPONENT,,,
environment.url.build_component.url.1,{general.base_url}/component_info.xml,string,The URL to a file that identifies the build number and summary of modifications for the EliteSeries Web Components build.
jalf.software_update_path,{deployment.directory}/{tecsysweb.war.name}/updates/JALF,string,The location of the software update patch files.
CAPTURE USAGE STATISTICS,,,
db.capture_usage_statistics,1,integer,"Enable/Disable database usage statistics. Based on thresholds defined by the following properties (min_seconds, min_row_count, min_lock_retry), statements are logged to help optimize the code or the SQL statements. The generated files will be stored in a subfolder of the work directory. The subfolder is db_usage_stats."
db.capture_usage_statistics.log_stack_trace,1,integer,"Enable/Disable the stack trace logging in all database data stored in the files. For each statement logged, the stack trace that led to its execution will be logged as well. It helps find where the statement is being executed. "
db.capture_usage_statistics.min_lock_retry,10,integer,"If a select for update was executed multiple times because of a locked row and the number of retries is higher than the number defined by the property, then it is logged. The following information is recorded: the thread name that was executing the code, the time when it was logged, the time that it took to get a response from the DB server, the number of retry attempts, a Boolean indicating if the maximum number of retries has been exceeded, the context (workflow step, if available), the statement, the parameters of the prepared statement, and the stack trace (if enabled). This is information is stored for all the users in the same file. The file is named lockretry_{date}.txt."
db.capture_usage_statistics.min_row_count,1000,integer,"If a result set contains more rows than the number defined by the property, then it is logged. The following information is recorded: the thread name that was executing the code, the time when it was logged, the time that it took to get a response from the DB server, the number of rows returned, the memory size when it is cached, the context (workflow step, if available), the statement, the parameters of the prepared statement, and the stack trace (if enabled). This is information is stored for all the users in the same file. The file is named resultset_{date}.txt."
db.capture_usage_statistics.min_seconds,0.1,float,"If an SQL statement (select, insert, etc.) takes more than the time defined by the property, then it is logged. The following information is recorded: the thread name that was executing the code, the time when it was logged, the time that it took to get a response from the DB server, the context (workflow step, if available), the statement, the parameters of the prepared statement, and the stack trace (if enabled). This is information is stored for all the users in the same file. The file is named statement_{date}.txt."
db.capture_usage_statistics.pool,0,boolean,Enable/Disable logging the database connection that is requested and returned to the pool.
db.capture_usage_statistics.pool.min_active,20,integer,The minimum active connections required before statistics are logged.
db.capture_usage_statistics.pool.min_threshold,5000,integer,Defines how long a connection must be in use to be logged.
db.capture_usage_statistics.transactions,0,boolean,"Captures the begin, commit, and rollback operations."
meta.capture_usage_statistics,0,boolean,"A flag that indicates whether the usage statistics must be captured. A file will be generated for each user. They will be stored in the sub-directory meta_usage_stats in the directory specified by the property general.work.resource.dir. This property gathers the view used, the action, the workflow, and the step (if available). "
queue.capture_usage_statistics,0,boolean,"Enable/Disable queue usage statistics. It logs every queue message consumed. The following information is recorded: the queue name, the time when the consumption process started (Start Time), the time when the consumption process ended (End Time), the total time in milliseconds that it took to consume the message (Elapsed Time), the time the iTopia® Messaging System spent retrieving and updating the queue message (Messaging System Time), the time spent by the business logic consuming the message (Message Consumption Time), the time spent accessing the database (SQL Time), the time spent in the code (Code Time), the queue message body (Message Body), and the exception is any Java exception, error, or special status is encountered that results in the queue message not being fully consumed (Exception). Please note that the sum total of Messaging System Time and Message Consumption Time should equal the Elapsed Time and that the sum total of SQL Time and Code Time should equal Elapsed Time. The files generated will be stored in a subfolder of the work directory. The subfolder is ws_usage_stats. A file is created for each queue (meta_generic, meta_xml_file_in, etc.)."
queue.task.capture_usage_statistics,0,boolean,
timer.capture_usage_statistics,0,boolean,Enable/Disable timer usage statistics. Logs the time to execute a timer executable. The files will be added to the timer_usage_stats folder.
ums.capture_usage_statistics,1,boolean,"When set to 1, logs user usage (Login, Logout, Register Application, Unregister Application, Handle Session, etc.) to file."
voice.capture_usage_statistics,0,boolean,"When set to 1, prints voice device usage statistics to file."
web_service.capture_usage_statistics,0,boolean,"Enable/Disable Web services usage statistics. This property logs every web service executed. The following information is recorded: the endpoint and web service method used, the user name, session ID, view name, and action (if applicable), the status code returned, the total time that it took to process the request (unmarshalling and marshalling of the XML excluded) (elapsedTime), the time when the request was received, the time when the response was sent, the time spent in the database (sqlConnectionTime), and the time spent in the code (elapsedTime - SqlConnectionTime). The files generated will be stored in a subfolder of the work directory. The subfolder is ws_usage_stats. A file is created for each endpoint (MetaBaseWebService, WmsBaseWebService, etc.)."
pubsub.capture_usage_statistics,0,boolean,"Enable/Disable the topic publisher/subscriber usage statistics. This property logs important events related to the publisher and subscribing throughout the whole process. It uses a UUID, thereby making it possible to track a single transaction from beginning to end. The following information is recorded: Current Time (the time at which this specific entry was logged), Thread ID, Thread Name, Parent Class, Child Class, Action Type (the type of operation being performed: Do, Split, Start, Stop), Elapsed Time (how long the tracked operation took to execute), Pub/Sub Name, UUID (a unique identifier to keep track of a specific transaction), Related UUID (used when one transaction is split into multiple publishes, so we can keep track of what the original UUID was). The files generated are stored in a subfolder of the work directory. The subfolder is pubsub_usage_stats."
meta.capture.app.action,0,boolean,"Enable/Disable logging of meta actions in md_session_app_action table. Each action should have as a minimum action name, muid of the action owner, also user name, thread state, resource name, start time. If one of these is not present, the action will still be logged. There are also fields for delegate action (additional action within the main one), duration and workflow step. All existing fields of md_session_app_action in fact can be used, depending on the context in which the action is called. this is up to the user to decide how much information they want to log for certain action."
DBTOOLS,,,
dbtools.logs.dir,{logs.directory}/db-tools,string,The logs directory for the DB-Tools utility. This value is derived from the file Bootstrap.properties
DEBUG,,,
debug.dbcp.snapshot.log.name.append.date,1,boolean,"When set to 1, the date will be appended to the file name."
debug.dbcp.snapshot.log.name,{logs.directory}/dbcp-snapshot.txt,string,
debug.error.email.contact,{sys.admin.email},string,The email address where a user may submit an error report when the program throws an abnormal termination. Currently only supports Java exceptions. Will only work if the smtp server is set up and a contact is specified.
debug.error.email.attachment.max-size,1000000,integer,The maximum size of the attachment in the email logged error message when debugging.
debug.error.log.name.append.date,1,boolean,"When set, will cause a new error log file to be created for each date (the date will be appended to the value of the debug.error.log.name property to form the log's file name). This property is only taken into consideration when the debug.error.log.to.file property is enabled."
debug.error.log.name,{logs.directory}/error.txt,file path string,A name for the error log file. This value is derived from the file Bootstrap.properties
debug.error.log.to.file,1,boolean,"When set, all errors will be recorded in an error log file (identified by the debug.error.log.name property); otherwise, error messages will be ignored."
debug.error.to.standard.output,0,boolean,
debug.error.message.context.data,0,boolean,"Defines if the data context associated with an error is printed. Currently, it is only used in the queue user interface (in the Message Error part)."
debug.error.message.context.stacktrace,0,boolean,Defines if the Java stack trace is created each time data context is transferred initially from its error source to another object that will carry it. The stack trace is only printed if the data context is printed (debug.error.message.context.data).
debug.filename.append.date,1,boolean,"When set, will cause a new debug file to be created for each date (the date will be appended to the value of the debug.filename property to form the log's file name). This property is only taken into consideration when the debug.to.file property is enabled."
debug.filename,{logs.directory}/debug.txt,file path string,A name for the debug log file. This value is derived from the file Bootstrap.properties
debug.is_invalid_http_request_blocking_disabled,0,boolean,"When set to 1, will not block an invalid HTTP request."
debug.key.xyz,0,boolean,"When set, all messages that correspond to debug key xyz will be output. This is subject to the debug.scope setting."
debug.key.xyz-StackTrace,0,boolean,"When set, displays the current stack trace. This is subject to the debug.key.xyz setting."
debug.log_invalid_http_method_access,1,boolean,"When set to 1, will log the invalid HTTP method access to file and will log the usage statistic tracker message as well."
debug.memory.manager.log.name.append.date,1,boolean,"When set, will cause a new memory-manager log file to be created for each date (the date will be appended to the value of the debug.memory-manager.log.name property to form the log's file name). This property is only taken into consideration when the debug.memory-manager.log.to.file property is enabled."
debug.memory.manager.log.name,{logs.directory}/memory-manager.txt,file path string,"A name for the memory-manager log file. It can be a relative path/filename (e.g. logs/memory-manager.txt), in which case the file would be relative to the [Destination Folder]/[Enterprise Application Name].ear folder, or it can be an absolute path/filename (e.g. C:/Tecsys/Elite_7x/eswc/logs/memory-manager.txt). The [Destination Folder] and [Enterprise Application Name] are chosen during the install."
debug.memory.manager.log.to.file,1,boolean,"When set, all memory-manager messages will be recorded in a memory-manager log file (identified by the debug.memory-manager.log.name property); otherwise, memory-manager messages will be ignored."
